,created:,tough one,,
sauce,lasos/sos,,sos,
saucepan,sospen,,sospen,
sausage,sosis,,sosis,
say,,sei,tok,
school,lakermes/skul/skulfi/skultija,,skul,
science,saens,,save,
scissors,sisis,,sisis,
scrape,skrasemaot,,sikirapim/sikrapim,
sea,besdemea/nabiribiri/naeli/nambirimbiri/natalie/natavoa/si/siplen/sisnek,,solwara,solwata
seat,twot,,sit/sea/sia,
second,nambatu/seken/sekenbon/sekenhan,,namba tu,
secret,sikret,,tok hait,
secretary,sekretari,,sekreteri,
see,lasiri/luk,luk,lukim,luk
sell,salemaot,,salim/selim,
send,imeilem/imelem/sanem/sendem,kam,salim,
september,septemba,,septemba,
servant,stued,,hausboi/hausmeri,
sew,somap/somapem,,samapim,
shadow,sado,,dewel/dewel bilong man,
shake,sekem/sekhan/seksek/seksekem,,seksek/seksekim,
shallow,salo,,i no daun,
shampoo,sampo,,sop/sop i het gras,
shark,sak,,sak,sak
sharp,sap,,sap/sappela,
shave,sev/sevem,,sepim,
she,,hem,em,
sheep,sipsip,,sipsip,
sheet,bedsit,,laplap bilong bet/bet sit/bet laplap,
shell,bidbid/kokias/sel/selfis,,kina,
ship,sip,,sip,
shoot,sut/sutsutum/sutum,,sutim,
short,kwikmaen/sot/sotsot,,sotpela/sot/sotpela,
shoulder,solda,,sol /solda,
shovel,savel/savelem,,savol,
show,soem,soem/sosoem,,
shut,sarap/saremap/sasem,,pasim,
sick,sik,,sik,
side,saed/smolrod,,sait/hapsait,
silk,silik,,slika,
silver,kuskus/silva,,silva,
sing,singim/singsing,,singsing,
sit,sidaon/sitdaon,,sindaun,
six,sikis,,sikis/sikispela,
skin,skin/skinim,skin,skin/sigin,skin
sky,skae,,skai/ples bilong klaut/heven/antap,skai
slack,slak,,slek/lus,
slap,slapem,,solapim,
sleep,slip,slip,slip,
slitgong,tamtam,,garamut,
slow,slo/slomosen/sloslo/slowan,,isi isi,
small,nanuhu/nasese/smol/smolaelan/smolwan/tako/tautu,,liklik,
